configuration_id,fast_window,slow_window,signal_window,neutral_band,neighbor_count,neighbor_configuration_ids,net_sharpe_ratio,total_turnover,median_neighbor_net_sharpe,minimum_neighbor_net_sharpe,standard_deviation_neighbor_net_sharpe,proportion_neighbors_positive_net_return,proportion_neighbors_positive_break_even,median_neighbor_turnover,mean_absolute_one_step_net_sharpe_difference,mean_absolute_one_step_turnover_difference
f012_s026_m012_b0p00100,12,26,12,0.001,6,f008_s026_m012_b0p00100|f012_s020_m012_b0p00100|f012_s026_m009_b0p00100|f012_s026_m012_b0p00050|f012_s032_m012_b0p00100|f016_s026_m012_b0p00100,-0.370461664137,1892,-0.493532750388,-0.652419004441,0.235239072443,0,0.333333333333,1902,0.220029557105,889
f012_s032_m006_b0p00000,12,32,6,0,5,f008_s032_m006_b0p00000|f012_s026_m006_b0p00000|f012_s032_m006_b0p00025|f012_s032_m009_b0p00000|f016_s032_m006_b0p00000,-0.748299832561,6691,-0.555440519848,-1.29204398438,0.329375619646,0,0,5911,0.304347466154,968.2
f012_s032_m006_b0p00025,12,32,6,0.00025,6,f008_s032_m006_b0p00025|f012_s026_m006_b0p00025|f012_s032_m006_b0p00000|f012_s032_m006_b0p00050|f012_s032_m009_b0p00025|f016_s032_m006_b0p00025,-0.555440519848,5144,-0.540731653179,-1.03900293703,0.270113123221,0,0.333333333333,4850.5,0.238989018244,1153.5
f012_s032_m006_b0p00050,12,32,6,0.0005,6,f008_s032_m006_b0p00050|f012_s026_m006_b0p00050|f012_s032_m006_b0p00025|f012_s032_m006_b0p00100|f012_s032_m009_b0p00050|f016_s032_m006_b0p00050,-0.428865171875,3250,-0.564901132921,-0.901941854655,0.235177658335,0,0.166666666667,3244,0.230358837296,1273
f012_s032_m006_b0p00100,12,32,6,0.001,5,f008_s032_m006_b0p00100|f012_s026_m006_b0p00100|f012_s032_m006_b0p00050|f012_s032_m009_b0p00100|f016_s032_m006_b0p00100,-0.901941854655,1386,-0.657390525867,-0.99206593058,0.239222026114,0,0,1954,0.261777684503,965.2
f012_s032_m009_b0p00000,12,32,9,0,6,f008_s032_m009_b0p00000|f012_s026_m009_b0p00000|f012_s032_m006_b0p00000|f012_s032_m009_b0p00025|f012_s032_m012_b0p00000|f016_s032_m009_b0p00000,-0.44578149527,5575,-0.380333476352,-0.780833339466,0.245643151204,0,0.5,5474,0.216751789911,726.333333333
f012_s032_m009_b0p00025,12,32,9,0.00025,7,f008_s032_m009_b0p00025|f012_s026_m009_b0p00025|f012_s032_m006_b0p00025|f012_s032_m009_b0p00000|f012_s032_m009_b0p00050|f012_s032_m012_b0p00025|f016_s032_m009_b0p00025,-0.31039973194,4879,-0.413263368012,-0.686612126052,0.245731085013,0.142857142857,0.428571428571,4830,0.21671063031,663.714285714
f012_s032_m009_b0p00050,12,32,9,0.0005,7,f008_s032_m009_b0p00050|f012_s026_m009_b0p00050|f012_s032_m006_b0p00050|f012_s032_m009_b0p00025|f012_s032_m009_b0p00100|f012_s032_m012_b0p00050|f016_s032_m009_b0p00050,-0.198751907581,3690,-0.318135647089,-0.548730566296,0.212844084532,0.142857142857,0.428571428571,3318,0.211037228309,897.571428571
f012_s032_m009_b0p00100,12,32,9,0.001,6,f008_s032_m009_b0p00100|f012_s026_m009_b0p00100|f012_s032_m006_b0p00100|f012_s032_m009_b0p00050|f012_s032_m012_b0p00100|f016_s032_m009_b0p00100,-0.450940516143,1954,-0.494807149096,-0.901941854655,0.270454123805,0,0.333333333333,1902,0.24992812831,848.333333333
f012_s032_m012_b0p00000,12,32,12,0,5,f008_s032_m012_b0p00000|f012_s026_m012_b0p00000|f012_s032_m009_b0p00000|f012_s032_m012_b0p00025|f016_s032_m012_b0p00000,-0.144495601689,5003,-0.341386699436,-0.510443359345,0.169906624434,0,0.4,5241,0.196776573692,518
