configuration_id,short_window,long_window,neutral_band,symbol,calendar_year,observations,position_eligible_observations,gross_return,net_return,net_annualized_volatility,net_sharpe_ratio,net_max_drawdown,turnover,long_exposure_pct,short_exposure_pct,neutral_exposure_pct
s016_l032_d0p0010,16,32,0.001,SPY,2020,6554,6522,0.143868182059,0.0994604521879,0.313027392147,0.460649457224,-0.177571304959,396,43.2076050291,29.6534805274,27.1389144434
s016_l032_d0p0010,16,32,0.001,SPY,2021,6540,6540,-0.00899546063066,-0.0438434881812,0.103020324686,-0.384484342432,-0.159832697145,358,36.9418960245,22.4159021407,40.6422018349
s016_l032_d0p0010,16,32,0.001,SPY,2022,6514,6514,0.0120130910753,-0.0264058844737,0.208320205214,-0.0249834529085,-0.284298232421,387,38.1178999079,42.5391464538,19.3429536383
s016_l032_d0p0010,16,32,0.001,SPY,2023,6476,6476,0.22264185661,0.17728886399,0.103783625922,1.64298592075,-0.0774972341209,378,37.2606547251,27.7794935145,34.9598517603
s016_l032_d0p0010,16,32,0.001,SPY,2024,6516,6516,0.0649985211668,0.0277493797547,0.0983589524794,0.328799830113,-0.0656598653592,356,34.7912829957,24.6009821977,40.6077348066
s016_l032_d0p0010,16,32,0.001,SPY,2025,6464,6464,-0.23315594198,-0.260125056488,0.174276439871,-1.66494990954,-0.278463102496,358,37.8712871287,26.1602722772,35.9684405941
s016_l032_d0p0020,16,32,0.002,SPY,2020,6554,6522,0.135790749046,0.099138053652,0.302030287731,0.465269162766,-0.185391938088,328,29.9601349279,22.4011039558,47.6387611162
s016_l032_d0p0020,16,32,0.002,SPY,2021,6540,6540,-0.0670101735033,-0.0896806055703,0.0845808007389,-1.07064345433,-0.166084407122,246,20.5198776758,13.9755351682,65.504587156
s016_l032_d0p0020,16,32,0.002,SPY,2022,6514,6514,-0.0272564098769,-0.0626908842592,0.185181840216,-0.258976719176,-0.227926435815,371,30.181148296,33.2821614983,36.5366902057
s016_l032_d0p0020,16,32,0.002,SPY,2023,6476,6476,0.102956593222,0.073254528714,0.0790962552346,0.943831136973,-0.0498410245626,273,22.2359481161,15.704138357,62.0599135269
s016_l032_d0p0020,16,32,0.002,SPY,2024,6516,6516,0.0522104881398,0.0253059990461,0.0817609409524,0.348007477716,-0.0713151647277,259,19.7513812155,13.0601596071,67.1884591774
s016_l032_d0p0020,16,32,0.002,SPY,2025,6464,6464,-0.195066632744,-0.218307142459,0.158516730938,-1.49550636568,-0.226282931899,293,22.4938118812,16.4139851485,61.0922029703
s016_l064_d0p0000,16,64,0,SPY,2020,6554,6490,0.0816422376987,0.0586164044906,0.329307204662,0.336169167762,-0.300374878601,215,62.1725731895,37.8274268105,0
s016_l064_d0p0000,16,64,0,SPY,2021,6540,6540,-0.044260857426,-0.0667391374437,0.126854989695,-0.48204860468,-0.104528915011,238,63.2568807339,36.7278287462,0.0152905198777
s016_l064_d0p0000,16,64,0,SPY,2022,6514,6514,0.0140300665641,-0.01001205047,0.226916199675,0.0689255834492,-0.145966746252,240,47.2520724593,52.7325759902,0.0153515505066
