symbol,bar_number,local_time,observations,sessions,mean_return,standard_deviation,mean_absolute_return,median_absolute_return,mean_squared_return,mean_high_low_log_range,mean_volume,median_volume,mean_trade_count,mean_volume_share,mean_trade_count_share,mean_absolute_return_share,mean_squared_return_share,opening_bar_rate,closing_bar_rate,average_session_length
IWM,21,14:30:00,1496,1496,0.00010488200836898212,0.002354961300901651,0.0014448075646516943,0.000928829641653639,5.55313585030042e-06,0.0028496344116178715,836862.9585561497,672916.0,6448.173796791444,0.0288563374652451,0.028475299969390615,0.030942569690772196,0.0254162822969228,0.0,0.0,26.0
IWM,22,14:45:00,1496,1496,3.836705033214362e-05,0.0022622009633912776,0.0014073806663082358,0.0009084607330662742,5.11560440498889e-06,0.0027687559993672807,856166.300802139,678357.0,6487.227272727273,0.029585008671423923,0.028761132396656227,0.029545075933896783,0.022771553741459002,0.0,0.0,26.0
IWM,23,15:00:00,1496,1496,-5.010270924705015e-05,0.0020865961923781395,0.0014164923078914498,0.0009770178083705616,4.353483601474031e-06,0.0028914056683869917,956672.4739304812,791348.0,7431.770053475936,0.03346677648874418,0.03344234717436865,0.030866960942670094,0.024079975246668103,0.0,0.0,26.0
IWM,24,15:15:00,1496,1496,-5.739710283586879e-05,0.002193498137992387,0.0014176224922021938,0.0009111230101264134,4.811512309537757e-06,0.002825471040517886,1021154.6570855615,862976.0,7804.719251336898,0.035809832780893856,0.03526651870335635,0.0300342404230582,0.022744061416043106,0.0,0.0,26.0
IWM,25,15:30:00,1496,1496,-0.00010224353513417324,0.002162422307281394,0.0014161983788876361,0.0009597094822506591,4.6833982601071725e-06,0.002924028007281586,1320022.4979946525,1163854.5,10075.703877005348,0.04692177923304052,0.046331732019887086,0.030731967318752818,0.02345612986629178,0.0,0.0,26.0
IWM,26,15:45:00,1496,1496,-2.7095289171703968e-05,0.003111379440841957,0.0019734056611222825,0.0013572310630443063,9.674945135455025e-06,0.0037591508909152814,3101926.5254010693,2833448.0,21853.182486631016,0.11268373911485033,0.10338791435455409,0.041820901864300784,0.04103223644741792,0.0,1.0,26.0
QQQ,1,09:30:00,1508,1508,-5.253591873764906e-05,0.0037953390333668145,0.002810648146966689,0.0021583817521975135,1.4397806280014912e-05,0.005565082581264193,3762059.023872679,3428637.0,36437.8773209549,0.08712970608504932,0.09224214299127953,0.07387501816672648,0.11667934212024016,1.0,0.0,25.90450928381963
QQQ,2,09:45:00,1508,1508,0.00020962673713997878,0.003280696358065787,0.0022677735644094036,0.0016046057164418315,1.0799774715671946e-05,0.004554834423021528,2614046.3408488063,2344190.5,26138.941644562336,0.059549799419831774,0.06463035446885884,0.05831938847342384,0.07775856692718562,0.0,0.0,25.90450928381963
QQQ,3,10:00:00,1508,1508,-1.8791263570721123e-05,0.0031584793813370458,0.002210736240970102,0.0016279048987981604,9.969729734605952e-06,0.0044469424596436935,2456691.7287798407,2163976.0,25237.32029177719,0.05564723974570671,0.06183885327114101,0.05761351375643099,0.07505836746593007,0.0,0.0,25.90450928381963
QQQ,4,10:15:00,1508,1508,1.771586263541941e-05,0.0027498638789444493,0.001936534350830668,0.001450801604979901,7.557050780538374e-06,0.003869110127195569,2077825.9416445624,1828994.0,21051.165782493368,0.046904365106219065,0.05110953933692239,0.04974846568791494,0.05760200612954457,0.0,0.0,25.90450928381963
QQQ,5,10:30:00,1508,1508,-4.0435250566417775e-05,0.0025193678531904165,0.0017981960718448054,0.0012652450579322405,6.344640361074422e-06,0.0036452362136815833,1946946.6836870026,1688830.0,19461.748673740054,0.04385561813213898,0.04754828723840576,0.04698184467459131,0.05310392349607275,0.0,0.0,25.90450928381963
QQQ,6,10:45:00,1508,1508,-0.00015147880313461974,0.002543283319655002,0.0017665781968515364,0.0012582140687094068,6.486946554829121e-06,0.0034145351160310925,1762992.125331565,1538508.0,17516.61604774536,0.03962049537528599,0.04247719036525442,0.04499652736455502,0.04701517886835729,0.0,0.0,25.90450928381963
QQQ,7,11:00:00,1508,1508,0.00011811215370504222,0.002425200701191777,0.0016669838679449769,0.0011782495947034732,5.891648657695723e-06,0.0032954402480137256,1685892.7606100796,1470023.0,16446.61870026525,0.03803360456987424,0.03984180855461783,0.04217211567129721,0.04181546630778592,0.0,0.0,25.90450928381963
QQQ,8,11:15:00,1508,1508,-4.587920955943884e-06,0.0021378917499210144,0.0014607948095699346,0.001034313681871346,4.56757129405263e-06,0.0029672744124203845,1509636.0417771884,1304551.5,14866.657161803714,0.03399278138343415,0.03613371924717945,0.03721902502049546,0.033757825148591686,0.0,0.0,25.90450928381963
QQQ,9,11:30:00,1508,1508,1.881428243740362e-05,0.0021267475448469783,0.0014604071764454044,0.00102924846532515,4.520409723314856e-06,0.00293946224031607,1467704.0477453582,1254683.5,14278.41047745358,0.03289065831245631,0.03451456533915288,0.036691870377909205,0.03231408327146738,0.0,0.0,25.90450928381963
QQQ,10,11:45:00,1508,1508,0.00010172123146676657,0.002000545850135684,0.0013903896002147446,0.0009867941952252934,4.009876939456399e-06,0.002703806652441163,1332861.5563660478,1156102.0,12810.856763925729,0.029928820957577044,0.030764978250115402,0.035869741396490476,0.030820791211564245,0.0,0.0,25.90450928381963
